                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7988,                  16.66,                 3.5406,                0.00333,                      1,                0.53643,                0.20468,                 1.1062,                 10.969,                 2.2256,                0.00024,                0.00024,                0.00024
                      2,                 1.1573,                 7.6629,                  1.787,                0.00188,                 0.5641,                0.20127,                0.12387,                 2.6406,                 19.096,                 2.9251,             0.00049505,             0.00049505,             0.00049505
                      3,                0.96864,                 6.2574,                 1.5819,                0.00333,                      1,                 0.7582,                0.39595,                  0.912,                 10.741,                 1.8723,             0.00074495,             0.00074495,             0.00074495
                      4,                 1.0007,                 6.0015,                 1.5823,                0.00333,                      1,                0.37015,                0.23845,                 1.3022,                 10.965,                 2.1644,             0.00098971,             0.00098971,             0.00098971
                      5,                0.99985,                 6.0597,                 1.5753,                0.97419,                0.92308,                0.99229,                0.79568,                 0.9084,                 6.9414,                 1.7778,              0.0012293,              0.0012293,              0.0012293
                      6,                0.88541,                 5.2751,                 1.3816,                0.46949,                0.87179,                0.50133,                 0.2366,                  1.249,                 10.416,                 2.5671,              0.0014638,              0.0014638,              0.0014638
                      7,                0.89261,                 5.1205,                 1.4765,                0.99677,                      1,                  0.995,                0.74263,                 1.0216,                 4.8291,                  3.113,              0.0016931,              0.0016931,              0.0016931
                      8,                0.90906,                 4.7826,                 1.4823,                0.65084,                0.58974,                0.60749,                0.50218,                0.86837,                  5.911,                 1.9999,              0.0018614,              0.0018614,              0.0018614
                      9,                 0.9417,                 4.7195,                 1.5457,                0.54957,                0.87179,                0.64726,                  0.431,                 1.1059,                 8.7451,                 1.8865,              0.0018614,              0.0018614,              0.0018614
                     10,                0.97835,                 4.5226,                 1.5027,                 0.3763,                0.61538,                0.47208,                0.36625,                0.94596,                 5.7896,                 1.9159,              0.0018416,              0.0018416,              0.0018416
                     11,                0.97841,                 4.0467,                 1.5178,                0.76621,                0.84045,                0.86522,                0.70093,                0.88106,                 5.1347,                 1.8249,              0.0018218,              0.0018218,              0.0018218
                     12,                0.97605,                 4.5359,                 1.5833,                0.64417,                0.35897,                0.53244,                0.36095,                 1.0966,                 4.8156,                 1.9063,               0.001802,               0.001802,               0.001802
                     13,                0.98431,                 4.0447,                 1.5325,                0.84156,                0.94872,                0.96844,                0.70029,                 1.0534,                 3.9314,                 1.8957,              0.0017822,              0.0017822,              0.0017822
                     14,                0.89478,                 3.6069,                 1.4296,                0.97479,                0.99147,                0.99325,                0.65687,                 1.0337,                 5.2611,                 1.8217,              0.0017624,              0.0017624,              0.0017624
                     15,                0.89898,                 3.8098,                  1.448,                0.92168,                0.90539,                0.96082,                0.57762,                 1.2923,                 3.8297,                 2.2179,              0.0017426,              0.0017426,              0.0017426
                     16,                 0.8074,                 3.2711,                 1.3906,                0.30435,                0.61538,                0.31291,                0.16573,                 1.8528,                 4.9825,                 2.6658,              0.0017228,              0.0017228,              0.0017228
                     17,                0.85625,                 3.3527,                 1.4252,                0.46037,                0.30769,                0.35241,                0.17288,                 2.2462,                 6.4218,                 2.3555,               0.001703,               0.001703,               0.001703
                     18,                0.85947,                  2.943,                 1.3814,                0.96393,                0.38462,                0.45325,                0.22192,                 2.8689,                 6.3799,                 3.0413,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0358,                 3.3071,                 1.5628,                0.95274,                0.94872,                0.99083,                0.65249,                 1.0504,                  3.177,                 1.8904,              0.0016634,              0.0016634,              0.0016634
                     20,                0.90159,                 3.2076,                 1.4771,                0.88251,                0.87179,                0.92355,                0.71529,                0.96337,                   3.59,                 1.7708,              0.0016436,              0.0016436,              0.0016436
                     21,                 0.7753,                 2.6431,                 1.3105,                 0.7379,                0.76923,                0.74711,                0.46756,                 1.2697,                 3.6431,                 1.8951,              0.0016238,              0.0016238,              0.0016238
                     22,                0.80199,                 2.3692,                 1.3484,                0.95594,                      1,                 0.9925,                0.74091,                0.80769,                 3.1062,                 1.5463,               0.001604,               0.001604,               0.001604
                     23,                0.87377,                 2.8044,                 1.4267,                0.92614,                0.96473,                 0.9811,                 0.6639,                 1.1557,                 3.1245,                  1.828,              0.0015842,              0.0015842,              0.0015842
                     24,                0.92594,                 2.5299,                  1.357,                      1,                0.99215,                  0.995,                0.78925,                0.71819,                 2.4904,                 1.4647,              0.0015644,              0.0015644,              0.0015644
                     25,                0.75711,                 2.2717,                 1.2893,                0.99546,                      1,                  0.995,                0.85159,                0.68568,                 2.4556,                 1.4766,              0.0015446,              0.0015446,              0.0015446
                     26,                0.78131,                 2.1693,                  1.327,                0.98672,                      1,                  0.995,                0.74023,                0.82347,                 2.4948,                 1.6183,              0.0015248,              0.0015248,              0.0015248
                     27,                0.93775,                 2.1953,                 1.3496,                0.99787,                      1,                  0.995,                0.74848,                 0.7444,                 2.2829,                 1.4893,               0.001505,               0.001505,               0.001505
                     28,                0.86843,                 2.2249,                 1.4431,                0.94817,                      1,                0.95256,                0.78114,                0.73487,                 2.1372,                  1.514,              0.0014852,              0.0014852,              0.0014852
                     29,                0.77106,                 2.0036,                 1.3273,                0.95019,                      1,                 0.9855,                0.79205,                0.73819,                 2.0519,                 1.5094,              0.0014654,              0.0014654,              0.0014654
