                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3317,                 14.814,                 2.9873,                0.00331,                0.99281,                0.75695,                0.50886,                 1.1032,                 11.716,                 2.0964,                0.00034,                0.00034,                0.00034
                      2,                0.99484,                 6.7561,                 1.5954,                0.00333,                      1,                0.56503,                0.36717,                0.89956,                 10.196,                 2.1358,             0.00068614,             0.00068614,             0.00068614
                      3,                0.95434,                 6.0803,                 1.5428,                0.00333,                      1,                0.04107,                0.02813,                0.91488,                 10.518,                 1.8933,               0.001018,               0.001018,               0.001018
                      4,                 1.0313,                 6.1119,                 1.6247,                0.90229,                0.81295,                0.93867,                0.60437,                 1.0248,                 8.6846,                  3.495,              0.0013357,              0.0013357,              0.0013357
                      5,                0.92995,                 5.2535,                 1.5203,                0.95563,                0.97842,                0.99044,                0.74255,                0.86948,                 5.4718,                 1.9893,               0.001639,               0.001639,               0.001639
                      6,                 1.0374,                 5.3736,                 1.6021,                0.96002,                0.96403,                0.99057,                 0.7389,                0.85666,                 7.3687,                 2.1917,               0.001802,               0.001802,               0.001802
                      7,                 1.0064,                 4.5041,                  1.553,                0.95434,                0.94964,                0.98406,                0.52202,                 1.1523,                 4.9437,                 3.1771,               0.001802,               0.001802,               0.001802
                      8,                0.97729,                 4.3687,                 1.5855,                0.98104,                0.95683,                0.99198,                0.69373,                 1.0223,                 4.0412,                 1.9652,              0.0017624,              0.0017624,              0.0017624
                      9,                0.91864,                 4.3623,                 1.4694,                0.97556,                0.86165,                0.95768,                0.62701,                  1.175,                 3.7757,                 1.8734,              0.0017228,              0.0017228,              0.0017228
                     10,                0.96112,                  3.685,                 1.4933,                 0.9652,                0.99783,                0.99407,                0.77755,                0.79019,                 3.5697,                 1.6983,              0.0016832,              0.0016832,              0.0016832
                     11,                0.80738,                 3.4862,                 1.3477,                0.95733,                0.96834,                 0.9844,                0.76887,                0.82568,                 3.4543,                 1.5389,              0.0016436,              0.0016436,              0.0016436
                     12,                0.81255,                 3.5273,                 1.3735,                      1,                 0.9916,                  0.995,                0.76836,                0.77784,                 3.3423,                 1.5932,               0.001604,               0.001604,               0.001604
                     13,                0.78071,                 2.9278,                 1.3071,                0.99809,                      1,                  0.995,                0.81194,                0.73227,                 3.2764,                 1.4983,              0.0015644,              0.0015644,              0.0015644
                     14,                0.99306,                 3.2945,                 1.5111,                 0.9323,                0.97122,                0.98666,                0.68646,                0.94225,                 4.0857,                 1.5989,              0.0015248,              0.0015248,              0.0015248
                     15,                0.80618,                 2.7616,                 1.3996,                0.98168,                      1,                0.99369,                0.80754,                0.85617,                 2.9738,                 1.6097,              0.0014852,              0.0014852,              0.0014852
                     16,                 0.8133,                 2.4731,                 1.3275,                0.99453,                0.99281,                  0.995,                0.74237,                0.83352,                   2.67,                 1.5114,              0.0014456,              0.0014456,              0.0014456
                     17,                0.88741,                 2.7952,                 1.3906,                0.99791,                      1,                  0.995,                0.74164,                0.91525,                 2.7637,                 1.5374,               0.001406,               0.001406,               0.001406
