                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66123,                0.57068,                 1.1795,                0.99449,                      1,                  0.995,                0.89773,                0.46354,                0.48467,                 1.2831,              0.0018654,              0.0018654,              0.0018654
                     37,                0.63542,                0.54179,                   1.16,                0.99456,                      1,                  0.995,                0.83684,                0.58804,                0.43524,                 1.2652,              0.0018614,              0.0018614,              0.0018614
                     38,                0.60256,                0.51452,                 1.1389,                0.99475,                      1,                  0.995,                 0.9158,                0.50594,                 0.4434,                 1.2349,              0.0018574,              0.0018574,              0.0018574
                     39,                0.64836,                0.51662,                 1.1477,                0.99336,                      1,                  0.995,                0.88613,                0.45729,                0.36963,                 1.2404,              0.0018535,              0.0018535,              0.0018535
                     40,                0.59914,                0.48543,                 1.1079,                0.99433,                      1,                  0.995,                0.87372,                0.48066,                0.39723,                 1.2551,              0.0018495,              0.0018495,              0.0018495
                     41,                 0.6271,                  0.501,                 1.1988,                0.99421,                      1,                  0.995,                0.90652,                0.45585,                0.36453,                 1.2737,              0.0018456,              0.0018456,              0.0018456
                     42,                0.62114,                0.49883,                 1.1275,                0.99413,                      1,                  0.995,                0.87654,                0.57226,                0.40993,                 1.4506,              0.0018416,              0.0018416,              0.0018416
                     43,                0.68238,                 0.5172,                 1.2216,                0.99439,                      1,                  0.995,                0.89773,                0.46493,                0.36788,                 1.2315,              0.0018376,              0.0018376,              0.0018376
                     44,                0.60621,                0.46951,                 1.1631,                0.99463,                      1,                  0.995,                0.87511,                0.51215,                0.38634,                 1.3577,              0.0018337,              0.0018337,              0.0018337
                     45,                0.61359,                0.46415,                  1.151,                0.99456,                      1,                  0.995,                0.90093,                0.50123,                0.41539,                 1.3775,              0.0018297,              0.0018297,              0.0018297
                     46,                 0.6337,                0.49048,                 1.1565,                0.99421,                      1,                  0.995,                0.84022,                0.51704,                0.40132,                 1.2946,              0.0018258,              0.0018258,              0.0018258
                     47,                0.57468,                0.45622,                 1.1309,                0.99416,                      1,                  0.995,                0.92785,                0.39542,                0.36317,                  1.159,              0.0018218,              0.0018218,              0.0018218
                     48,                0.58946,                0.45949,                 1.1159,                0.99475,                      1,                  0.995,                0.94836,                0.42655,                0.35272,                 1.1397,              0.0018178,              0.0018178,              0.0018178
                     49,                0.58977,                0.46073,                 1.1517,                0.99386,                      1,                  0.995,                0.96955,                0.36033,                0.31791,                 1.0767,              0.0018139,              0.0018139,              0.0018139
                     50,                0.58454,                0.44426,                 1.1408,                0.99469,                      1,                  0.995,                0.89938,                0.39034,                0.29941,                 1.1672,              0.0018099,              0.0018099,              0.0018099
                     51,                0.61572,                0.45249,                 1.1336,                0.99467,                      1,                  0.995,                0.93744,                 0.3959,                 0.3412,                 1.1352,               0.001806,               0.001806,               0.001806
                     52,                 0.5946,                0.42005,                  1.123,                0.99388,                      1,                  0.995,                0.90289,                0.34801,                0.33993,                 1.0953,               0.001802,               0.001802,               0.001802
                     53,                0.56979,                0.43502,                 1.1548,                0.99447,                      1,                  0.995,                0.95296,                0.38294,                  0.335,                  1.112,               0.001798,               0.001798,               0.001798
                     54,                0.52331,                0.40085,                 1.0956,                 0.9948,                      1,                  0.995,                0.94652,                0.46268,                 0.3345,                 1.2161,              0.0017941,              0.0017941,              0.0017941
                     55,                0.54971,                0.39688,                 1.1008,                0.99466,                      1,                  0.995,                0.96846,                0.38593,                 0.2782,                 1.0962,              0.0017901,              0.0017901,              0.0017901
                     56,                0.59993,                0.41485,                 1.1469,                 0.9929,                      1,                  0.995,                0.90969,                0.39475,                0.30773,                 1.1534,              0.0017862,              0.0017862,              0.0017862
                     57,                0.57289,                0.40719,                 1.0982,                0.99468,                      1,                  0.995,                0.93636,                 0.2924,                0.28922,                 1.0243,              0.0017822,              0.0017822,              0.0017822
                     58,                0.53562,                0.38527,                 1.0729,                0.99461,                      1,                  0.995,                0.95016,                0.33569,                0.30257,                 1.0668,              0.0017782,              0.0017782,              0.0017782
                     59,                0.55902,                0.39554,                 1.1018,                0.98889,                      1,                  0.995,                0.95427,                0.34688,                0.32501,                 1.1332,              0.0017743,              0.0017743,              0.0017743
                     60,                0.57457,                0.39812,                 1.0915,                0.99466,                      1,                  0.995,                0.95674,                0.32408,                0.31209,                 1.0214,              0.0017703,              0.0017703,              0.0017703
                     61,                0.52445,                 0.3734,                 1.0683,                0.99277,                      1,                  0.995,                0.95058,                0.35771,                0.31646,                 1.0394,              0.0017664,              0.0017664,              0.0017664
                     62,                0.51926,                 0.3673,                 1.0378,                0.99436,                      1,                  0.995,                0.90879,                0.45653,                0.33785,                  1.247,              0.0017624,              0.0017624,              0.0017624
                     63,                0.55621,                0.36884,                 1.0416,                0.99459,                      1,                  0.995,                0.92203,                0.39008,                0.32093,                 1.0994,              0.0017584,              0.0017584,              0.0017584
                     64,                0.50061,                0.35403,                 1.0471,                0.99436,                      1,                  0.995,                0.93517,                0.34156,                0.29129,                 1.0531,              0.0017545,              0.0017545,              0.0017545
                     65,                0.59134,                0.39903,                 1.1049,                 0.9897,                      1,                  0.995,                0.95982,                0.36479,                0.40284,                 1.0732,              0.0017505,              0.0017505,              0.0017505
                     66,                0.53969,                0.37513,                 1.0772,                0.99019,                      1,                  0.995,                0.96294,                0.37733,                0.37022,                 1.1407,              0.0017466,              0.0017466,              0.0017466
                     67,                0.55828,                0.38827,                 1.0592,                0.99215,                      1,                  0.995,                 0.9806,                0.32666,                 0.3644,                 1.0784,              0.0017426,              0.0017426,              0.0017426
                     68,                0.51629,                 0.3647,                 1.0727,                0.99455,                      1,                  0.995,                0.90905,                0.52919,                0.37631,                 1.3523,              0.0017386,              0.0017386,              0.0017386
                     69,                0.56094,                0.38173,                 1.0781,                0.99443,                      1,                  0.995,                0.91258,                0.41568,                0.33125,                 1.1757,              0.0017347,              0.0017347,              0.0017347
                     70,                0.52565,                0.34822,                  1.056,                 0.9934,                      1,                  0.995,                 0.9391,                 0.3657,                0.32561,                 1.1065,              0.0017307,              0.0017307,              0.0017307
                     71,                0.56633,                0.37269,                 1.1039,                0.99472,                      1,                  0.995,                0.91294,                0.47634,                 0.3485,                 1.1887,              0.0017268,              0.0017268,              0.0017268
                     72,                0.54943,                0.36531,                 1.0479,                0.99444,                      1,                  0.995,                0.94736,                0.42261,                0.32746,                 1.1734,              0.0017228,              0.0017228,              0.0017228
                     73,                0.54466,                0.36276,                 1.0584,                0.99484,                      1,                  0.995,                0.92217,                0.44183,                0.33351,                  1.254,              0.0017188,              0.0017188,              0.0017188
                     74,                0.57258,                0.37882,                 1.1322,                0.99474,                      1,                  0.995,                0.90565,                0.43925,                0.36929,                 1.1926,              0.0017149,              0.0017149,              0.0017149
                     75,                0.56592,                0.37481,                 1.0952,                0.99231,                      1,                  0.995,                0.91246,                0.45319,                0.34139,                 1.3661,              0.0017109,              0.0017109,              0.0017109
                     76,                0.54879,                0.36643,                 1.0648,                0.99473,                      1,                  0.995,                0.97881,                0.34292,                0.28049,                 1.0743,               0.001707,               0.001707,               0.001707
                     77,                0.54695,                0.37173,                 1.0845,                0.99455,                      1,                  0.995,                0.95451,                0.32477,                 0.2544,                 1.0889,               0.001703,               0.001703,               0.001703
                     78,                0.53272,                0.35907,                 1.0608,                0.99429,                      1,                  0.995,                0.93263,                0.36855,                0.28775,                   1.07,               0.001699,               0.001699,               0.001699
                     79,                 0.5546,                0.36631,                 1.0803,                0.99034,                      1,                  0.995,                0.85262,                 0.4684,                0.36101,                 1.2025,              0.0016951,              0.0016951,              0.0016951
                     80,                0.52138,                0.34706,                 1.0669,                0.99482,                      1,                  0.995,                 0.9673,                 0.3459,                0.28251,                 1.0688,              0.0016911,              0.0016911,              0.0016911
                     81,                0.53469,                0.35755,                  1.066,                0.99481,                      1,                  0.995,                0.96839,                0.30905,                0.35264,                 1.0204,              0.0016872,              0.0016872,              0.0016872
                     82,                0.53425,                0.35853,                 1.0536,                0.99468,                      1,                  0.995,                 0.9525,                0.35811,                0.26959,                 1.0125,              0.0016832,              0.0016832,              0.0016832
                     83,                0.58531,                 0.3681,                 1.0896,                0.99225,                      1,                  0.995,                 0.9755,                0.34968,                0.30866,                 1.0906,              0.0016792,              0.0016792,              0.0016792
                     84,                0.57251,                0.36316,                 1.0693,                0.99476,                      1,                  0.995,                 0.9397,                0.40721,                0.30614,                    1.1,              0.0016753,              0.0016753,              0.0016753
                     85,                0.53456,                0.36288,                 1.1029,                0.99469,                      1,                  0.995,                0.89708,                0.39566,                0.31028,                 1.0697,              0.0016713,              0.0016713,              0.0016713
                     86,                 0.5244,                0.34965,                 1.0538,                0.99461,                      1,                  0.995,                0.95871,                0.29628,                0.30426,                0.98303,              0.0016674,              0.0016674,              0.0016674
                     87,                0.53729,                 0.3466,                 1.0252,                0.99318,                      1,                  0.995,                  0.995,                0.25016,                0.25424,                0.94084,              0.0016634,              0.0016634,              0.0016634
                     88,                0.51881,                0.34303,                 1.0509,                0.99498,                      1,                  0.995,                0.96808,                0.31737,                 0.2709,                 1.0216,              0.0016594,              0.0016594,              0.0016594
                     89,                0.53561,                0.35699,                 1.0538,                0.99475,                      1,                  0.995,                0.98275,                0.35386,                0.32086,                  1.051,              0.0016555,              0.0016555,              0.0016555
                     90,                0.49981,                0.32384,                 1.0395,                0.99521,                      1,                  0.995,                0.97407,                0.37109,                 0.3058,                 1.0606,              0.0016515,              0.0016515,              0.0016515
                     91,                0.52781,                0.34351,                 1.0904,                0.99461,                      1,                  0.995,                0.91506,                0.34098,                0.27331,                  1.053,              0.0016476,              0.0016476,              0.0016476
                     92,                0.52487,                 0.3494,                  1.061,                0.99487,                      1,                  0.995,                0.89456,                0.39791,                0.31168,                 1.0832,              0.0016436,              0.0016436,              0.0016436
                     93,                0.52302,                0.34072,                 1.0451,                0.99473,                      1,                  0.995,                0.96179,                0.29915,                0.27685,                 1.0078,              0.0016396,              0.0016396,              0.0016396
                     94,                0.53246,                0.33285,                 1.0371,                      1,                      1,                  0.995,                0.96125,                0.37272,                0.38051,                 1.0679,              0.0016357,              0.0016357,              0.0016357
                     95,                 0.4902,                0.32722,                 1.0419,                0.99422,                      1,                  0.995,                0.93523,                0.34725,                0.38056,                0.99733,              0.0016317,              0.0016317,              0.0016317
                     96,                0.49811,                0.31374,                 1.0207,                0.99349,                      1,                  0.995,                0.97811,                0.27101,                 0.2606,                0.96325,              0.0016278,              0.0016278,              0.0016278
                     97,                0.53298,                0.33906,                 1.0306,                0.99462,                      1,                  0.995,                0.96543,                0.31789,                0.26307,                   1.07,              0.0016238,              0.0016238,              0.0016238
                     98,                0.50618,                0.32842,                  1.044,                0.99454,                      1,                  0.995,                0.95941,                0.29553,                0.27739,                  1.007,              0.0016198,              0.0016198,              0.0016198
                     99,                0.55138,                0.34951,                 1.0409,                0.99472,                      1,                  0.995,                0.97665,                0.25067,                0.25843,                0.96525,              0.0016159,              0.0016159,              0.0016159
                    100,                0.55633,                0.34922,                 1.0549,                 0.9948,                      1,                  0.995,                0.95424,                0.30236,                0.23602,                 1.0293,              0.0016119,              0.0016119,              0.0016119
                    101,                 0.5263,                 0.3272,                 1.0426,                0.99255,                      1,                  0.995,                 0.9009,                0.33857,                 0.3187,                 1.1098,               0.001608,               0.001608,               0.001608
                    102,                 0.5109,                0.32528,                 1.0426,                0.99473,                      1,                  0.995,                0.96001,                0.33409,                0.25282,                 1.0408,               0.001604,               0.001604,               0.001604
                    103,                  0.503,                0.32893,                 1.0346,                0.99501,                      1,                  0.995,                0.97171,                0.30089,                0.27941,                0.98943,                 0.0016,                 0.0016,                 0.0016
                    104,                0.52681,                0.33524,                 1.0461,                0.99466,                      1,                  0.995,                 0.9685,                0.32031,                0.24387,                0.99104,              0.0015961,              0.0015961,              0.0015961
                    105,                0.46178,                0.29425,                 1.0401,                0.99483,                      1,                  0.995,                0.97747,                0.36123,                0.26804,                 1.0093,              0.0015921,              0.0015921,              0.0015921
                    106,                0.48716,                0.30525,                  1.008,                0.99384,                      1,                  0.995,                0.97601,                0.31575,                0.25529,                0.98239,              0.0015882,              0.0015882,              0.0015882
                    107,                0.49524,                 0.3217,                  1.028,                0.99431,                      1,                  0.995,                0.98675,                0.23341,                0.26716,                0.94873,              0.0015842,              0.0015842,              0.0015842
                    108,                0.50074,                0.30415,                 1.0145,                0.99489,                      1,                  0.995,                0.95082,                0.41272,                0.25234,                 1.0911,              0.0015802,              0.0015802,              0.0015802
                    109,                0.50744,                0.32379,                 1.0089,                0.99452,                      1,                  0.995,                0.98498,                0.25246,                0.21221,                0.92588,              0.0015763,              0.0015763,              0.0015763
                    110,                0.49677,                0.31142,                  1.016,                0.99483,                      1,                  0.995,                0.98409,                0.28908,                0.25463,                0.99786,              0.0015723,              0.0015723,              0.0015723
                    111,                0.51941,                0.32472,                 1.0308,                0.99454,                      1,                  0.995,                0.97094,                0.29582,                0.27081,                0.96579,              0.0015684,              0.0015684,              0.0015684
                    112,                0.50437,                0.32141,                 1.0402,                0.99473,                      1,                  0.995,                 0.9679,                0.35141,                0.27437,                  1.049,              0.0015644,              0.0015644,              0.0015644
                    113,                0.47289,                0.30385,                 1.0359,                0.99485,                      1,                  0.995,                0.96618,                0.32323,                 0.2759,                 1.0478,              0.0015604,              0.0015604,              0.0015604
                    114,                0.53681,                0.31986,                 1.0361,                0.99485,                      1,                  0.995,                0.97725,                0.27998,                0.24042,                0.98158,              0.0015565,              0.0015565,              0.0015565
                    115,                0.55634,                0.33032,                  1.056,                0.99479,                      1,                  0.995,                0.96474,                0.33871,                0.27107,                0.98159,              0.0015525,              0.0015525,              0.0015525
                    116,                0.54017,                0.33151,                 1.0606,                0.99485,                      1,                  0.995,                0.95771,                0.34011,                0.32808,                  1.022,              0.0015486,              0.0015486,              0.0015486
                    117,                0.48607,                0.30213,                 1.0418,                0.99488,                      1,                  0.995,                0.95016,                0.31468,                0.22872,                0.96516,              0.0015446,              0.0015446,              0.0015446
                    118,                0.50933,                0.31086,                 1.0218,                0.99483,                      1,                  0.995,                 0.9662,                0.31985,                0.25268,                 1.0568,              0.0015406,              0.0015406,              0.0015406
                    119,                0.48393,                0.29211,                 1.0182,                0.99483,                      1,                  0.995,                0.97678,                0.28872,                0.22087,                0.97641,              0.0015367,              0.0015367,              0.0015367
                    120,                0.50837,                0.29758,                 1.0406,                  0.907,                0.97696,                0.98591,                0.95174,                 0.3587,                0.40322,                 1.0224,              0.0015327,              0.0015327,              0.0015327
                    121,                0.51523,                0.30736,                 1.0245,                0.90383,                      1,                0.97682,                 0.8852,                0.44424,                0.45628,                 1.1467,              0.0015288,              0.0015288,              0.0015288
                    122,                0.48422,                0.28574,                 1.0047,                0.99448,                      1,                  0.995,                0.88702,                0.45671,                0.35976,                 1.0837,              0.0015248,              0.0015248,              0.0015248
                    123,                0.44289,                0.27521,                 1.0073,                0.99483,                      1,                  0.995,                0.98709,                0.28646,                0.22245,                0.96238,              0.0015208,              0.0015208,              0.0015208
                    124,                0.49857,                0.29762,                 1.0054,                      1,                      1,                  0.995,                0.98595,                0.31546,                0.23972,                0.96666,              0.0015169,              0.0015169,              0.0015169
                    125,                0.48137,                0.30249,                 1.0136,                0.99485,                      1,                  0.995,                0.97978,                0.29654,                0.21446,                0.97394,              0.0015129,              0.0015129,              0.0015129
                    126,                0.45231,                0.29544,                 1.0213,                0.99482,                      1,                  0.995,                0.95466,                0.35769,                0.24396,                 1.0725,               0.001509,               0.001509,               0.001509
                    127,                0.50716,                0.30633,                 1.0145,                0.99464,                      1,                  0.995,                0.96598,                0.27699,                0.25543,                0.97724,               0.001505,               0.001505,               0.001505
                    128,                0.48205,                0.29805,                  1.012,                0.99462,                      1,                  0.995,                0.95916,                0.37161,                0.22476,                   1.01,               0.001501,               0.001501,               0.001501
                    129,                0.46677,                0.28569,                0.99106,                0.99481,                      1,                  0.995,                 0.9843,                0.28225,                0.21454,                0.93563,              0.0014971,              0.0014971,              0.0014971
                    130,                 0.4522,                0.28551,                0.99284,                 0.9948,                      1,                  0.995,                0.97282,                0.29987,                0.22804,                0.97409,              0.0014931,              0.0014931,              0.0014931
                    131,                0.49043,                0.30253,                 1.0278,                0.99473,                      1,                  0.995,                0.97567,                 0.2667,                0.21981,                0.92354,              0.0014892,              0.0014892,              0.0014892
                    132,                0.48162,                 0.2874,                 1.0517,                0.99474,                      1,                  0.995,                 0.9735,                0.26761,                0.23204,                0.93206,              0.0014852,              0.0014852,              0.0014852
                    133,                0.46595,                 0.2802,                 0.9813,                0.99476,                      1,                  0.995,                 0.9855,                0.22341,                0.19528,                0.88146,              0.0014812,              0.0014812,              0.0014812
                    134,                 0.4521,                0.27374,                0.98366,                0.99461,                      1,                  0.995,                0.97657,                0.30623,                0.20577,                0.96688,              0.0014773,              0.0014773,              0.0014773
                    135,                0.45887,                0.26896,                0.97421,                 0.9948,                      1,                  0.995,                0.97557,                0.25194,                0.18924,                0.88308,              0.0014733,              0.0014733,              0.0014733
                    136,                0.44913,                 0.2718,                0.98085,                0.99481,                      1,                  0.995,                0.98554,                0.23973,                0.21788,                0.88242,              0.0014694,              0.0014694,              0.0014694
                    137,                0.47183,                0.29084,                 1.0201,                 0.9947,                      1,                  0.995,                0.97625,                0.28397,                0.28952,                0.93814,              0.0014654,              0.0014654,              0.0014654
